Rollno,cent_allot,cent_add,examDate,batch,rep_time
NL2000001,WGL,NIELIT WGL,27-09-2023,2,2:00 PM
NL2000002,WGL,NIELIT WGL,10-09-2023,1,9:00 AM
NL2000003,WGL,NIELIT WGL,22-09-2023,1,9:00 AM
NL2000004,WGL,NIELIT WGL,17-09-2023,1,9:00 AM
NL2000005,WGL,NIELIT WGL,06-09-2023,2,2:00 PM
NL2000006,WGL,NIELIT WGL,15-09-2023,1,9:00 AM
NL2000007,WGL,NIELIT WGL,08-09-2023,2,2:00 PM
NL2000008,WGL,NIELIT WGL,12-09-2023,2,2:00 PM
NL2000009,WGL,NIELIT WGL,20-09-2023,2,2:00 PM
NL2000010,WGL,NIELIT WGL,17-09-2023,2,2:00 PM
NL2000011,WGL,NIELIT WGL,17-09-2023,1,9:00 AM
NL2000012,WGL,NIELIT WGL,29-09-2023,1,9:00 AM
NL2000013,WGL,NIELIT WGL,22-09-2023,1,9:00 AM
NL2000014,WGL,NIELIT WGL,29-09-2023,2,2:00 PM
NL2000015,MAHB,NIELIT MAHB,11-09-2023,2,2:00 PM
NL2000016,MAHB,NIELIT MAHB,24-09-2023,1,9:00 AM
NL2000017,MAHB,NIELIT MAHB,06-09-2023,1,9:00 AM
NL2000018,MAHB,NIELIT MAHB,15-09-2023,2,2:00 PM
NL2000019,MAHB,NIELIT MAHB,13-09-2023,1,9:00 AM
NL2000020,MAHB,NIELIT MAHB,03-09-2023,2,2:00 PM
NL2000021,MAHB,NIELIT MAHB,18-09-2023,1,9:00 AM
NL2000022,MAHB,NIELIT MAHB,02-09-2023,2,2:00 PM
NL2000023,MAHB,NIELIT MAHB,16-09-2023,2,2:00 PM
NL2000024,MAHB,NIELIT MAHB,09-09-2023,1,9:00 AM
NL2000025,MAHB,NIELIT MAHB,07-09-2023,2,2:00 PM
NL2000026,MAHB,NIELIT MAHB,07-09-2023,1,9:00 AM
NL2000027,MAHB,NIELIT MAHB,30-09-2023,1,9:00 AM
NL2000028,MAHB,NIELIT MAHB,06-09-2023,1,9:00 AM
NL2000029,MAHB,NIELIT MAHB,23-09-2023,1,9:00 AM
NL2000030,MAHB,NIELIT MAHB,27-09-2023,2,2:00 PM
NL2000031,MAHB,NIELIT MAHB,23-09-2023,1,9:00 AM
NL2000032,MAHB,NIELIT MAHB,29-09-2023,1,9:00 AM
NL2000033,WGL,NIELIT WGL,15-09-2023,2,2:00 PM
NL2000034,MAHB,NIELIT MAHB,24-09-2023,2,2:00 PM
NL2000035,MAHB,NIELIT MAHB,15-09-2023,2,2:00 PM
NL2000036,MAHB,NIELIT MAHB,29-09-2023,1,9:00 AM
NL2000037,MAHB,NIELIT MAHB,11-09-2023,2,2:00 PM
NL2000038,MAHB,NIELIT MAHB,17-09-2023,1,9:00 AM
NL2000039,MAHB,NIELIT MAHB,11-09-2023,1,9:00 AM
NL2000040,MAHB,NIELIT MAHB,13-09-2023,1,9:00 AM
NL2000041,MAHB,NIELIT MAHB,13-09-2023,2,2:00 PM
NL2000042,KRS,NIELIT KRS,27-09-2023,2,2:00 PM
NL2000043,KRS,NIELIT KRS,25-09-2023,2,2:00 PM
NL2000044,KRS,NIELIT KRS,02-09-2023,2,2:00 PM
NL2000045,KRS,NIELIT KRS,25-09-2023,1,9:00 AM
NL2000046,KRS,NIELIT KRS,12-09-2023,1,9:00 AM
