Application_ID,D_O_B,SEX,H_Qual,TH_CENT_CH,SEC_TH_CEN,CATEGORY,Rollno,cent_allot,cent_add,examDate,batch,rep_time
9598673,9/13/1989,F,X,WGL,KARN,OBC,,,,,,
9657127,6/14/1989,M,GRAD,WGL,KARN,ST,,,,,,
9657164,10/13/1989,F,X,WGL,KARN,GEN,,,,,,
9657217,8/22/1985,M,GRAD,WGL,KARN,OBC,,,,,,
9657229,9/20/1991,M,X,WGL,KARN,GEN,,,,,,
9657267,11/25/1995,M,GRAD,WGL,KARN,ST,,,,,,
9657269,02-05-1997,M,X,WGL,KARN,GEN,,,,,,
9657306,5/20/1992,M,GRAD,WGL,KARN,GEN,,,,,,
9657354,02-12-2000,M,X,WGL,KARN,GEN,,,,,,
9657362,10/14/1997,M,XII,WGL,KARN,ST,,,,,,
9657405,10/19/1992,F,X,WGL,KARN,GEN,,,,,,
9657424,6/20/1992,M,X,WGL,KARN,OBC,,,,,,
9657426,5/26/1992,M,X,WGL,KARN,GEN,,,,,,
9658107,11-07-2002,F,X,WGL,NALG,OBC,,,,,,
9663305,07-09-2002,F,X,MAHB,KUN,OBC,,,,,,
9663345,08-05-1997,F,X,MAHB,KUN,OBC,,,,,,
9663376,12/30/2002,F,X,MAHB,KUN,OBC,,,,,,
9663408,07-01-2003,F,X,MAHB,KUN,OBC,,,,,,
9663442,9/18/2001,F,X,MAHB,KUN,OBC,,,,,,
9663471,06-08-2004,M,X,MAHB,KUN,SC,,,,,,
9663504,1/16/2003,M,X,MAHB,KUN,SC,,,,,,
9663531,11/26/2003,M,X,MAHB,KUN,OBC,,,,,,
9663565,10/27/2004,F,UX,MAHB,KUN,OBC,,,,,,
9663596,10/23/2010,M,X,MAHB,KUN,SC,,,,,,
9663635,3/22/2002,F,X,MAHB,KUN,OBC,,,,,,
9663662,3/27/2002,M,X,MAHB,KUN,OBC,,,,,,
9663678,10/20/2003,F,X,MAHB,KUN,OBC,,,,,,
9663722,06-09-1993,F,X,MAHB,KUN,SC,,,,,,
9663754,5/20/2004,F,X,MAHB,KUN,SC,,,,,,
9663781,04-09-2004,M,X,MAHB,KUN,OBC,,,,,,
9663797,2/14/2002,F,X,MAHB,KUN,OBC,,,,,,
9663818,2/15/2004,F,X,MAHB,KUN,OBC,,,,,,
9673950,10/30/1999,F,XII,WGL,NALG,OBC,,,,,,
9675337,10/21/2003,M,X,MAHB,KUN,OBC,,,,,,
9675405,10/23/1993,F,X,MAHB,KUN,OBC,,,,,,
9675469,4/26/2002,M,X,MAHB,KUN,OBC,,,,,,
9675494,4/27/2002,M,UX,MAHB,KUN,OBC,,,,,,
